filename,width,height,class,xmin,ymin,xmax,ymax
2800589.jpg,128,128,cargo,19,51,128,111
2849837.jpg,128,128,cargo,3,28,126,96
2812827.jpg,128,128,cargo,11,35,117,94
2866156.jpg,128,128,cargo,9,12,120,89
2784284.jpg,128,128,cargo,5,27,125,108
2845770.jpg,128,128,cargo,3,57,127,102
2792419.jpg,128,128,cargo,9,51,117,83
2858053.jpg,128,128,cargo,9,37,120,95
2856056.jpg,128,128,cargo,4,54,122,86
2894465.jpg,128,128,cargo,1,16,123,99
2800562.jpg,128,128,cargo,11,52,119,110
2856042.jpg,128,128,cargo,7,51,124,98
2890398.jpg,128,128,cargo,4,44,122,79
2833433.jpg,128,128,cargo,3,46,125,90
2837655.jpg,128,128,cargo,10,24,119,93
2798493.jpg,128,128,cargo,9,37,122,92
2814932.jpg,128,128,cargo,3,23,128,98
2825279.jpg,128,128,cargo,23,45,116,106
2816880.jpg,128,128,cargo,4,45,119,87
2798450.jpg,128,128,cargo,6,48,121,81
2843659.jpg,128,128,cargo,17,39,78,79
2876184.jpg,128,128,cargo,5,35,120,80
2802605.jpg,128,128,cargo,2,43,127,84
2786134.jpg,128,128,cargo,6,31,120,73
2890373.jpg,128,128,cargo,11,7,114,104
2814852.jpg,128,128,cargo,6,44,120,87
2831422.jpg,128,128,cargo,16,37,108,88
2831344.jpg,128,128,cargo,18,38,122,117
2816923.jpg,128,128,cargo,1,20,116,105
2860137.jpg,128,128,cargo,6,27,120,106
2829251.jpg,128,128,cargo,23,31,101,88
2874142.jpg,128,128,cargo,4,24,116,106
2818926.jpg,128,128,cargo,5,41,111,77
2892438.jpg,128,128,cargo,13,38,113,91
2831393.jpg,128,128,cargo,6,19,120,107
2888474.jpg,128,128,cargo,4,34,122,116
2886459.jpg,128,128,cargo,1,37,125,84
2798524.jpg,128,128,cargo,3,36,128,86
2843705.jpg,128,128,cargo,2,39,123,104
2892404.jpg,128,128,cargo,10,25,125,98
2794322.jpg,128,128,cargo,8,55,122,100
2825133.jpg,128,128,cargo,13,26,108,116
2835446.jpg,128,128,cargo,21,6,118,114
2835452.jpg,128,128,cargo,6,34,123,110
2825127.jpg,128,128,cargo,3,6,105,113
2802598.jpg,128,128,cargo,11,50,120,87
2788290.jpg,128,128,cargo,6,33,118,96
2804658.jpg,128,128,cargo,2,38,117,72
2904658.jpg,128,128,cargo,45,33,112,89
2896460.jpg,128,128,cargo,9,31,118,94
2812760.jpg,128,128,cargo,6,18,122,110
2790352.jpg,128,128,cargo,10,23,115,88
2780141.jpg,128,128,cargo,3,41,120,104
2790346.jpg,128,128,cargo,8,32,116,107
2849770.jpg,128,128,cargo,9,13,122,108
2902573.jpg,128,128,cargo,9,38,127,84
2904664.jpg,128,128,cargo,23,34,114,101
2786242.jpg,128,128,cargo,3,46,126,91
2880216.jpg,128,128,cargo,10,4,110,113
2802567.jpg,128,128,cargo,23,12,99,89
2849771.jpg,128,128,cargo,4,39,119,76
2802566.jpg,128,128,cargo,30,23,95,97
2896475.jpg,128,128,cargo,6,29,123,90
2851880.jpg,128,128,cargo,2,44,126,88
2802572.jpg,128,128,cargo,3,24,121,124
2896461.jpg,128,128,cargo,6,40,122,105
2872095.jpg,128,128,cargo,5,27,113,115
2780140.jpg,128,128,cargo,4,36,118,94
2804665.jpg,128,128,cargo,14,45,112,81
2790353.jpg,128,128,cargo,26,35,91,99
2894538.jpg,128,128,cargo,12,24,118,122
2904659.jpg,128,128,cargo,31,45,114,89
2788246.jpg,128,128,cargo,1,38,123,91
2804659.jpg,128,128,cargo,4,39,120,73
2835484.jpg,128,128,cargo,5,15,122,121
2810823.jpg,128,128,cargo,8,37,123,106
2835453.jpg,128,128,cargo,2,62,123,104
2878221.jpg,128,128,cargo,17,42,113,88
2868032.jpg,128,128,cargo,7,30,120,88
2788285.jpg,128,128,cargo,7,40,122,103
2823225.jpg,128,128,cargo,2,24,124,98
2902599.jpg,128,128,cargo,13,31,121,96
2794445.jpg,128,128,cargo,1,52,128,87
2862090.jpg,128,128,cargo,5,27,118,113
2798519.jpg,128,128,cargo,1,12,85,96
2782233.jpg,128,128,cargo,13,28,109,90
2794451.jpg,128,128,cargo,8,48,124,87
2814884.jpg,128,128,cargo,7,39,125,88
2827282.jpg,128,128,cargo,10,43,127,104
2831386.jpg,128,128,cargo,9,30,123,117
2857956.jpg,128,128,cargo,5,53,128,116
2860136.jpg,128,128,cargo,14,23,106,111
2831379.jpg,128,128,cargo,5,42,113,113
2816936.jpg,128,128,cargo,9,46,120,91
2829278.jpg,128,128,cargo,3,45,125,83
2831423.jpg,128,128,cargo,1,47,122,97
2831345.jpg,128,128,cargo,6,24,123,101
2855990.jpg,128,128,cargo,3,33,101,81
2890372.jpg,128,128,cargo,16,51,110,94
2786135.jpg,128,128,cargo,11,41,122,82
2890400.jpg,128,128,cargo,4,34,123,94
2890366.jpg,128,128,cargo,20,37,128,81
2841729.jpg,128,128,cargo,2,35,125,94
2833383.jpg,128,128,cargo,4,21,122,114
2878194.jpg,128,128,cargo,5,4,97,127
2796483.jpg,128,128,cargo,3,46,123,80
2829324.jpg,128,128,cargo,1,38,127,105
2876146.jpg,128,128,cargo,29,31,91,90
2855947.jpg,128,128,cargo,14,39,109,66
2798492.jpg,128,128,cargo,15,36,111,108
2827321.jpg,128,128,cargo,8,32,117,96
2890399.jpg,128,128,cargo,3,27,121,87
2837640.jpg,128,128,cargo,6,29,118,91
2804705.jpg,128,128,cargo,21,9,91,119
2900577.jpg,128,128,cargo,4,22,122,107
2806660.jpg,128,128,cargo,35,38,120,98
2792356.jpg,128,128,cargo,12,43,117,95
2896515.jpg,128,128,cargo,7,33,123,106
2804711.jpg,128,128,cargo,1,40,126,91
2810764.jpg,128,128,cargo,4,11,118,109
2858052.jpg,128,128,cargo,8,41,121,78
2806648.jpg,128,128,cargo,6,15,121,104
2788326.jpg,128,128,cargo,12,46,122,78
2898510.jpg,128,128,cargo,15,48,114,92
2845771.jpg,128,128,cargo,4,15,125,114
2782179.jpg,128,128,cargo,24,31,118,111
2864032.jpg,128,128,cargo,10,40,112,85
2870047.jpg,128,128,cargo,8,26,122,85
2782192.jpg,128,128,cargo,8,32,117,73
2866157.jpg,128,128,cargo,7,30,124,80
2870053.jpg,128,128,cargo,7,45,121,85
2849822.jpg,128,128,cargo,5,30,125,79
2868152.jpg,128,128,cargo,14,8,115,120
2868146.jpg,128,128,cargo,4,27,124,103
2851909.jpg,128,128,cargo,2,37,126,69
2870079.jpg,128,128,cargo,9,26,120,106
2810799.jpg,128,128,cargo,2,36,128,93
2849834.jpg,128,128,cargo,12,15,111,78
2872134.jpg,128,128,cargo,26,26,109,100
2792383.jpg,128,128,cargo,5,33,112,94
2847831.jpg,128,128,cargo,7,34,103,95
2784287.jpg,128,128,cargo,6,11,117,106
2864030.jpg,128,128,cargo,4,50,124,84
2784293.jpg,128,128,cargo,18,50,107,127
2788324.jpg,128,128,cargo,2,37,126,80
2880349.jpg,128,128,cargo,4,32,125,86
2788330.jpg,128,128,cargo,40,19,104,104
2804707.jpg,128,128,cargo,2,12,113,106
2894472.jpg,128,128,cargo,1,38,128,81
2819024.jpg,128,128,cargo,3,45,123,100
2870092.jpg,128,128,cargo,2,56,127,100
2784250.jpg,128,128,cargo,8,43,114,85
2853893.jpg,128,128,cargo,18,38,112,100
